epoca,acertos_medios,txaprendizagem
1,0.8901497,0.1
2,0.8977941,0.1
3,0.9046496,0.1
4,0.9097195,0.1
5,0.9118233,0.1
10,0.9309946,0.1
20,0.9494725,0.1
50,0.9502167,0.1
100,0.9520389,0.1
1,0.7056305,1.0
2,0.8239816,1.0
3,0.8897426,1.0
4,0.9111501,1.0
5,0.9155942,1.0
10,0.9277734,1.0
20,0.924929,1.0
50,0.9276526,1.0
100,0.939955,1.0
1,0.9317719,0.001
2,0.9357378,0.001
3,0.9317719,0.001
4,0.9396237,0.001
5,0.9383288,0.001
10,0.9382478,0.001
20,0.9400964,0.001
50,0.9396549,0.001
100,0.9437902,0.001
1,0.9422698,0.01
2,0.9393003,0.01
3,0.9452869,0.01
4,0.939676,0.01
5,0.939676,0.01
10,0.9478994,0.01
20,0.9509932,0.01
50,0.970392,0.01
100,0.9774542,0.01
